Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu,BaseScore,x1,x2,x3,x4,x6,x7,x12,Score
1,2,30.0,0,1553.48,1553.48,0,0.0,2,3,1,0,31.0,1250.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,-7.0,492.0
1,2,20.0,0,489.0,489.0,6,0.0,2,6,4,0,58.0,1350.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,24.0,587.0
1,8,30.0,1,0.0,1000.0,3,2.0,2,2,4,0,39.0,2100.0,522.0,18.0,-9.0,-7.0,13.0,37.0,8.0,7.0,589.0
1,8,10.0,0,1033.29,1033.29,0,0.0,1,3,2,1,23.0,1200.0,522.0,18.0,-3.0,0.0,-18.0,-0.0,-1.0,-25.0,493.0
1,8,10.0,0,526.56,526.56,1,0.0,4,7,4,1,73.0,1000.0,522.0,18.0,-3.0,0.0,9.0,-0.0,-1.0,43.0,588.0
1,8,4.0,1,396.57,3000.0,3,1.0,2,5,1,1,52.0,1228.77,522.0,18.0,9.0,-7.0,12.0,37.0,8.0,15.0,614.0
1,2,30.0,0,1287.97,1287.97,0,0.0,2,6,2,1,44.0,1100.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,7.0,506.0
1,2,4.0,0,399.99,399.99,3,0.0,4,7,4,1,61.0,1800.0,522.0,5.0,9.0,0.0,12.0,37.0,-1.0,24.0,608.0
1,2,3.0,1,474.99,2000.0,2,1.0,2,3,4,0,39.0,3000.0,522.0,5.0,13.0,-7.0,12.0,-0.0,8.0,7.0,560.0
1,2,18.0,0,800.0,800.0,3,0.0,4,7,4,0,73.0,1400.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,43.0,579.0
1,2,5.0,0,312.99,312.99,0,1.0,2,3,1,0,50.0,2000.0,522.0,5.0,-3.0,0.0,12.0,-0.0,8.0,15.0,559.0
1,2,12.0,0,533.99,533.99,3,0.0,4,7,4,1,67.0,2400.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,43.0,606.0
1,2,12.0,0,973.28,973.28,2,0.0,2,6,1,1,45.0,1500.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,7.0,506.0
1,2,5.0,0,479.99,479.99,2,2.0,2,2,0,0,44.0,3000.0,522.0,5.0,-3.0,0.0,12.0,-0.0,8.0,7.0,551.0
1,8,4.0,1,263.8,3000.0,3,0.0,4,7,1,1,57.0,1400.0,522.0,18.0,9.0,-7.0,13.0,37.0,-1.0,24.0,615.0
1,2,10.0,1,549.99,3000.0,1,0.0,2,6,3,1,61.0,2500.0,522.0,5.0,-3.0,-7.0,9.0,-0.0,-1.0,24.0,549.0
1,8,3.0,1,676.36,2000.0,3,1.0,2,3,1,0,32.0,1400.0,522.0,18.0,13.0,-7.0,9.0,37.0,8.0,-7.0,593.0
1,8,3.0,1,371.16,2000.0,3,0.0,4,7,0,1,67.0,3200.0,522.0,18.0,13.0,-7.0,12.0,37.0,-1.0,43.0,637.0
1,2,3.0,1,449.99,3000.0,3,0.0,2,2,4,1,52.0,2500.0,522.0,5.0,13.0,-7.0,12.0,37.0,-1.0,15.0,596.0
1,2,20.0,0,1268.89,1268.89,0,0.0,2,6,1,1,21.0,1500.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,-25.0,474.0
1,8,30.0,1,0.0,1000.0,3,2.0,4,7,2,1,48.0,1750.0,522.0,18.0,-9.0,-7.0,13.0,37.0,8.0,7.0,589.0
1,2,10.0,1,530.0,2000.0,3,0.0,4,7,1,0,60.0,1200.0,522.0,5.0,-3.0,-7.0,9.0,37.0,-1.0,24.0,586.0
1,8,4.0,1,275.6,3000.0,3,1.0,2,6,0,1,60.0,5000.0,522.0,18.0,9.0,-7.0,13.0,37.0,8.0,24.0,624.0
1,2,5.0,0,385.99,385.99,3,0.0,2,2,4,1,44.0,2200.0,522.0,5.0,-3.0,0.0,12.0,37.0,-1.0,7.0,579.0
1,2,20.0,0,2000.0,2000.0,3,3.0,2,6,0,1,46.0,3100.0,522.0,5.0,-9.0,0.0,-18.0,37.0,8.0,7.0,552.0
1,3,10.0,0,490.99,490.99,0,0.0,2,6,1,0,51.0,1300.0,522.0,5.0,-3.0,0.0,9.0,-0.0,-1.0,15.0,547.0
1,2,10.0,0,543.99,543.99,3,0.0,4,7,4,0,71.0,2500.0,522.0,5.0,-3.0,0.0,9.0,37.0,-1.0,43.0,612.0
1,8,10.0,0,249.9,249.9,0,0.0,4,4,1,1,31.0,1000.0,522.0,18.0,-3.0,0.0,13.0,-0.0,-1.0,-7.0,542.0
1,2,30.0,0,1613.99,1613.99,3,0.0,4,7,4,1,63.0,3200.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,24.0,560.0
1,2,5.0,0,549.99,549.99,2,2.0,2,6,1,1,49.0,1500.0,522.0,5.0,-3.0,0.0,9.0,-0.0,8.0,7.0,548.0
1,8,10.0,0,542.8,542.8,3,5.0,2,6,1,1,40.0,1193.0,522.0,18.0,-3.0,0.0,9.0,37.0,8.0,7.0,598.0
1,8,3.0,1,300.0,2000.0,3,1.0,0,3,4,0,48.0,670.0,522.0,18.0,13.0,-7.0,13.0,37.0,8.0,7.0,611.0
1,8,4.0,1,699.9,3000.0,0,0.0,2,5,3,1,23.0,2500.0,522.0,18.0,9.0,-7.0,9.0,-0.0,-1.0,-25.0,525.0
1,6,10.0,0,3390.0,3390.0,6,0.0,4,7,4,0,77.0,1608.0,522.0,5.0,-3.0,0.0,-18.0,37.0,-1.0,43.0,585.0
1,2,3.0,1,533.99,2000.0,3,0.0,4,4,1,0,55.0,2300.0,522.0,5.0,13.0,-7.0,9.0,37.0,-1.0,15.0,593.0
1,2,4.0,0,379.99,379.99,0,0.0,2,0,4,1,60.0,2000.0,522.0,5.0,9.0,0.0,12.0,-0.0,-1.0,24.0,571.0
1,0,3.0,1,157.93,1500.0,3,3.0,2,6,0,0,41.0,1900.0,522.0,-16.0,13.0,-7.0,13.0,37.0,8.0,7.0,577.0
1,2,5.0,0,507.98,507.98,0,0.0,2,2,0,0,57.0,4000.0,522.0,5.0,-3.0,0.0,9.0,-0.0,-1.0,24.0,556.0
1,8,4.0,1,246.0,2000.0,2,0.0,2,6,1,1,25.0,1100.0,522.0,18.0,9.0,-7.0,13.0,-0.0,-1.0,-25.0,529.0
1,6,10.0,0,571.0,571.0,3,3.0,2,5,1,1,42.0,1200.0,522.0,5.0,-3.0,0.0,9.0,37.0,8.0,7.0,585.0
1,8,5.0,1,895.89,2000.0,0,0.0,2,1,1,1,26.0,1300.0,522.0,18.0,-3.0,-7.0,-18.0,-0.0,-1.0,-25.0,486.0
1,6,10.0,0,1800.34,1800.34,6,0.0,4,7,3,0,89.0,1312.47,522.0,5.0,-3.0,0.0,-18.0,37.0,-1.0,43.0,585.0
1,3,4.0,0,2000.0,2000.0,6,0.0,4,7,4,0,86.0,2250.0,522.0,5.0,9.0,0.0,-18.0,37.0,-1.0,43.0,597.0
1,8,3.0,1,453.77,2000.0,3,1.0,2,5,4,1,52.0,2100.0,522.0,18.0,13.0,-7.0,12.0,37.0,8.0,15.0,618.0
1,2,4.0,0,583.99,583.99,3,0.0,4,7,0,1,54.0,3200.0,522.0,5.0,9.0,0.0,9.0,37.0,-1.0,15.0,596.0
1,6,10.0,0,1550.34,1550.34,3,0.0,4,7,1,1,76.0,2000.0,522.0,5.0,-3.0,0.0,-18.0,37.0,-1.0,43.0,585.0
1,8,1.0,1,358.18,2000.0,3,2.0,2,2,1,0,42.0,3000.0,522.0,18.0,13.0,-7.0,12.0,37.0,8.0,7.0,610.0
1,8,1.0,1,89.9,2000.0,1,0.0,4,4,1,1,56.0,2500.0,522.0,18.0,13.0,-7.0,13.0,-0.0,-1.0,15.0,573.0
1,2,15.0,0,1458.96,1458.96,3,2.0,2,2,0,1,39.0,2300.0,522.0,5.0,-9.0,0.0,-18.0,37.0,8.0,7.0,552.0
1,2,10.0,1,937.99,2000.0,3,0.0,2,5,4,0,47.0,2000.0,522.0,5.0,-3.0,-7.0,-18.0,37.0,-1.0,7.0,542.0
1,2,15.0,0,549.98,549.98,0,0.0,2,5,3,1,23.0,2300.0,522.0,5.0,-9.0,0.0,9.0,-0.0,-1.0,-25.0,501.0
1,2,20.0,0,660.98,660.98,3,0.0,2,2,1,0,70.0,3950.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,43.0,606.0
